"dept.inc","Year","agec","J12_J18_prim","acm_noj_prim","E40_E46_prim","R95_R99_prim","J12_J18_any","R00_R09_prim","G90_G99_prim","N00_N99_prim","P00_P96_prim","A00_B99_prim","Q00_Q99_prim","all.deaths"
"24.med",2009,1,0,1,0,0,0,0,0,0,0,0,0,1
"25.high",2009,1,34,67,10,0,42,0,0,1,0,30,1,111
"25.low",2009,1,1,0,0,0,1,0,0,0,0,0,0,1
"25.med",2009,1,6,7,1,0,8,0,0,0,0,2,0,15
"01.high",2010,1,0,2,1,0,0,0,0,0,0,0,0,2
"01.low",2010,1,0,2,0,0,3,0,0,0,0,0,0,5
"01.med",2010,1,1,0,0,0,1,0,0,0,0,0,0,1
"02.high",2010,1,3,21,0,1,6,0,1,0,3,4,5,32
"02.low",2010,1,2,3,0,0,2,0,0,0,1,1,0,7
"02.med",2010,1,3,14,1,0,6,1,0,1,0,1,1,24
"03.low",2010,1,5,22,0,0,6,1,0,0,0,1,3,33
"03.med",2010,1,1,6,0,0,1,0,1,0,0,0,0,7
"04.high",2010,1,11,53,0,1,16,0,8,2,2,3,7,73
"04.low",2010,1,2,1,0,0,2,0,0,0,0,0,0,3
"04.med",2010,1,0,6,0,0,0,0,0,0,0,0,1,7
"05.low",2010,1,8,22,2,0,8,0,0,0,0,5,3,31
"05.med",2010,1,5,20,0,0,7,1,1,0,2,0,3,32
"06.low",2010,1,13,25,2,0,13,0,2,2,1,4,0,39
"06.med",2010,1,15,28,2,2,17,1,1,0,1,5,2,48
"07.high",2010,1,18,22,0,0,23,0,2,0,0,3,7,46
"08.high",2010,1,3,13,1,0,4,0,2,0,0,0,0,19
"08.low",2010,1,6,52,0,0,8,5,4,0,1,3,2,65
"08.med",2010,1,11,50,2,0,17,2,7,0,1,3,2,72
"09.low",2010,1,8,32,0,0,9,0,0,2,0,2,3,43
"09.med",2010,1,0,11,1,0,2,0,0,0,1,1,2,13
"10.high",2010,1,1,9,0,0,2,0,0,0,0,1,1,12
"10.low",2010,1,5,35,3,1,5,0,2,1,0,2,2,44
"10.med",2010,1,4,26,1,1,4,0,5,2,0,3,0,31
"11.high",2010,1,12,42,2,0,13,0,2,2,0,4,6,58
"12.high",2010,1,7,36,1,1,10,0,5,0,0,4,4,55
"12.low",2010,1,1,10,0,0,1,0,1,3,0,1,1,12
"12.med",2010,1,14,50,2,2,20,1,5,1,0,3,4,74
"13.high",2010,1,12,43,2,1,13,0,0,0,2,11,10,60
"13.low",2010,1,14,15,0,2,14,0,0,1,0,1,1,32
"13.med",2010,1,12,37,2,0,13,0,2,2,1,8,9,52
"14.high",2010,1,9,15,1,1,14,0,1,0,0,2,2,30
"14.low",2010,1,1,1,0,0,1,0,0,0,0,0,0,2
"14.med",2010,1,17,42,1,3,26,0,4,1,0,3,5,72
"15.high",2010,1,74,229,9,13,106,2,22,3,11,42,43,347
"15.med",2010,1,8,22,0,0,11,0,0,0,0,5,4,39
"16.high",2010,1,6,9,1,0,11,0,0,0,0,2,2,24
"16.low",2010,1,10,12,3,0,11,0,0,0,0,4,0,23
"16.med",2010,1,22,26,4,0,27,0,1,6,0,1,2,55
"17.high",2010,1,5,17,2,0,6,0,0,0,4,4,0,24
"18.high",2010,1,2,10,0,0,3,0,2,0,0,0,3,15
"18.med",2010,1,0,3,0,0,0,0,0,0,0,0,1,3
"19.low",2010,1,8,28,2,7,8,0,2,0,2,0,2,41
"19.med",2010,1,8,24,0,0,8,0,0,0,0,3,1,38
"20.high",2010,1,13,27,0,1,21,0,4,1,1,5,4,53
"20.low",2010,1,9,13,1,0,9,1,0,0,1,3,2,24
"20.med",2010,1,23,70,1,4,36,0,3,2,6,9,8,110
"21.low",2010,1,13,99,1,1,15,0,7,4,2,7,2,136
"21.med",2010,1,44,133,4,3,52,3,6,3,1,20,6,215
"22.high",2010,1,3,9,0,0,4,0,0,0,0,2,1,16
"22.low",2010,1,3,5,0,0,5,0,0,0,0,0,0,10
"22.med",2010,1,13,24,0,0,17,0,0,1,0,4,2,49
"23.high",2010,1,4,13,0,0,7,0,0,1,1,0,4,21
"23.med",2010,1,0,1,0,0,0,0,0,0,0,1,0,1
"24.high",2010,1,6,7,1,0,6,0,0,0,0,0,1,14
"24.med",2010,1,2,0,0,0,2,0,0,0,0,0,0,2
"25.high",2010,1,31,53,6,0,38,0,2,0,0,22,3,96
"25.med",2010,1,4,14,1,0,8,0,1,1,0,6,1,25
"01.high",2011,1,0,3,1,0,0,0,0,0,0,0,0,3
"01.low",2011,1,1,4,0,0,1,0,0,0,0,1,0,5
"01.med",2011,1,1,1,0,0,2,0,0,0,0,0,0,3
"02.high",2011,1,7,23,2,0,9,0,0,0,2,1,4,32
"02.low",2011,1,2,1,0,0,2,0,0,0,0,0,0,4
"02.med",2011,1,6,24,0,0,7,1,0,0,3,2,3,33
"03.low",2011,1,3,24,0,2,3,2,2,0,1,2,3,27
"03.med",2011,1,1,9,2,0,1,1,0,0,1,0,2,11
"04.high",2011,1,12,50,0,2,22,0,4,0,2,3,7,79
"04.low",2011,1,1,0,0,0,1,0,0,0,0,0,0,1
"04.med",2011,1,1,2,0,0,1,0,1,0,0,0,1,4
"05.low",2011,1,4,18,1,0,7,0,0,0,4,1,0,26
"05.med",2011,1,7,23,0,1,8,4,0,0,5,1,4,34
"06.low",2011,1,8,16,0,0,8,1,0,0,2,3,2,27
"06.med",2011,1,7,32,0,1,8,0,0,1,6,0,5,44
"07.high",2011,1,10,20,0,0,12,0,0,1,1,1,4,33
"08.high",2011,1,0,8,0,0,0,1,1,0,1,0,0,12
"08.low",2011,1,2,28,0,0,7,2,1,0,3,2,0,39
"08.med",2011,1,6,53,1,0,8,7,5,1,4,2,4,67
"09.low",2011,1,5,29,1,0,8,0,1,0,4,0,3,44
"09.med",2011,1,1,11,0,0,2,0,0,1,3,0,1,13
"10.high",2011,1,1,6,0,0,1,0,1,0,0,0,1,7
"10.low",2011,1,10,32,3,0,12,1,0,0,0,1,5,48
"10.med",2011,1,4,11,0,1,5,0,0,0,0,0,3,17
"11.high",2011,1,11,34,1,0,20,0,2,2,1,3,10,59
"11.med",2011,1,0,1,0,0,0,0,0,0,0,0,0,1
"12.high",2011,1,9,13,0,0,16,0,0,1,1,2,1,36
"12.low",2011,1,2,5,0,1,2,0,0,0,0,0,0,7
"12.med",2011,1,7,41,3,0,11,0,2,1,0,3,6,61
"13.high",2011,1,7,28,1,0,8,0,1,0,2,5,5,41
"13.low",2011,1,8,22,2,2,8,0,0,1,0,6,1,30
"13.med",2011,1,11,33,0,1,11,0,1,2,5,4,6,47
"14.high",2011,1,4,18,0,0,6,0,1,0,2,3,5,27
"14.low",2011,1,0,6,0,0,0,0,0,2,0,0,1,6
"14.med",2011,1,11,36,2,0,18,0,3,1,1,4,6,58
"15.high",2011,1,61,178,2,4,92,1,13,4,12,28,35,281
"15.low",2011,1,0,2,0,0,0,0,0,0,0,0,0,2
"15.med",2011,1,12,17,0,0,17,0,1,0,3,3,3,38
"16.high",2011,1,4,2,0,0,5,0,0,0,1,0,0,8
"16.low",2011,1,2,9,0,0,3,0,0,0,1,2,0,13
"16.med",2011,1,10,7,0,0,12,0,0,0,1,1,3,20
"17.high",2011,1,2,15,0,0,2,0,1,0,7,1,2,17
"17.med",2011,1,0,1,0,0,0,0,0,0,0,0,0,1
"18.high",2011,1,1,7,0,0,4,0,0,0,0,0,1,11
"18.med",2011,1,0,1,0,0,1,0,0,0,0,0,1,2
"19.low",2011,1,2,5,0,0,2,0,0,0,0,1,0,10
"19.med",2011,1,2,18,1,0,4,0,0,0,1,1,1,25
"20.high",2011,1,5,18,0,0,13,0,2,0,2,3,2,40
"20.low",2011,1,6,18,0,0,6,0,0,1,3,3,0,26
"20.med",2011,1,21,52,3,1,37,1,0,4,6,5,4,92
"21.low",2011,1,20,74,3,0,21,4,2,0,2,4,4,104
"21.med",2011,1,36,101,3,0,41,1,3,3,6,13,6,151
"22.high",2011,1,6,10,0,0,10,0,0,0,1,0,3,23
"22.low",2011,1,0,6,1,0,1,0,0,0,0,0,0,7
"22.med",2011,1,8,15,0,0,10,1,0,0,1,5,0,26
"23.high",2011,1,1,12,0,0,4,0,0,0,3,1,4,16
"23.low",2011,1,1,0,0,0,1,0,0,0,0,0,0,1
"23.med",2011,1,0,0,0,0,1,0,0,0,0,0,0,2
"24.high",2011,1,3,5,0,0,3,0,1,0,0,2,1,9
"24.med",2011,1,1,2,0,0,1,0,0,0,0,0,0,3
"25.high",2011,1,11,40,7,0,17,0,1,1,0,17,3,57
"25.med",2011,1,1,5,1,0,4,0,0,0,0,1,1,9
"01.high",2012,1,1,2,0,0,2,0,0,0,0,0,0,4
"01.low",2012,1,1,2,0,0,1,0,0,0,0,0,0,3
"01.med",2012,1,0,7,0,1,1,0,0,0,0,1,2,11
"02.high",2012,1,3,17,0,0,6,0,0,1,0,0,6,24
"02.low",2012,1,0,1,1,0,1,0,0,0,0,0,0,2
"02.med",2012,1,2,18,0,3,3,3,0,1,0,0,2,23
"03.low",2012,1,0,17,0,0,0,0,2,1,0,0,2,21
"03.med",2012,1,2,3,0,0,3,0,1,0,0,0,0,7
"04.high",2012,1,11,58,0,1,22,0,5,1,0,6,10,87
"04.low",2012,1,0,3,0,0,0,0,0,0,0,0,0,3
"04.med",2012,1,3,4,0,0,3,0,0,0,0,0,0,7
"05.low",2012,1,5,18,0,0,5,0,1,0,0,3,1,24
"05.med",2012,1,3,21,0,0,4,0,1,0,1,3,5,29
"06.high",2012,1,0,1,0,0,0,0,0,0,0,1,0,1
"06.low",2012,1,8,26,0,2,8,1,1,0,0,2,3,36
"06.med",2012,1,10,29,0,0,12,1,1,0,0,5,5,44
"07.high",2012,1,17,22,0,0,23,0,1,0,0,4,9,47
"08.high",2012,1,2,5,1,0,3,0,1,0,0,0,0,11
"08.low",2012,1,9,31,0,3,9,0,4,1,0,0,2,51
"08.med",2012,1,9,43,1,2,15,1,1,0,0,6,3,64
"09.low",2012,1,5,34,0,0,8,0,0,0,0,1,7,45
"09.med",2012,1,2,6,0,0,2,0,0,0,0,0,2,10
"10.high",2012,1,2,3,1,0,2,0,0,0,0,0,1,5
"10.low",2012,1,8,28,0,0,10,0,1,1,0,0,4,42
"10.med",2012,1,3,12,1,0,3,0,0,1,0,2,1,17
"11.high",2012,1,16,28,3,0,27,0,0,0,0,2,7,61
"12.high",2012,1,7,25,2,0,8,0,0,1,0,1,6,36
"12.low",2012,1,0,6,0,1,0,0,1,0,0,1,0,9
"12.med",2012,1,14,35,0,1,16,0,0,0,0,2,8,58
"13.high",2012,1,11,27,0,0,13,0,3,3,0,5,10,43
"13.low",2012,1,8,28,1,2,9,0,0,0,0,1,8,38
"13.med",2012,1,9,43,0,0,15,0,2,0,0,6,14,64
"14.high",2012,1,4,15,1,0,9,0,1,0,0,0,7,24
"14.low",2012,1,5,4,0,0,5,0,1,0,0,0,0,10
"14.med",2012,1,22,31,1,0,29,0,1,3,0,2,7,60
"15.high",2012,1,63,174,0,9,94,2,13,1,3,22,57,281
"15.med",2012,1,10,13,1,0,11,0,0,0,0,3,1,28
"16.high",2012,1,1,1,0,0,2,0,0,0,0,0,0,3
"16.low",2012,1,11,11,0,0,13,0,0,0,0,2,1,26
"16.med",2012,1,2,6,0,0,2,0,0,0,0,1,2,8
"17.high",2012,1,3,12,0,0,3,0,1,0,0,5,1,19
"17.med",2012,1,0,1,0,0,0,0,0,0,0,0,0,1
"18.high",2012,1,1,3,0,0,3,0,0,0,0,1,0,7
"18.med",2012,1,0,1,0,0,0,0,1,0,0,0,0,1
"19.low",2012,1,4,6,0,0,4,0,0,0,0,0,1,10
"19.med",2012,1,3,13,0,0,3,0,1,0,0,0,2,22
"20.high",2012,1,10,16,0,2,14,0,1,2,0,4,3,33
"20.low",2012,1,6,13,0,0,9,0,0,1,0,2,2,22
"20.med",2012,1,28,41,4,1,36,0,1,2,0,5,13,84
"21.low",2012,1,8,89,2,1,8,0,3,4,0,5,5,108
"21.med",2012,1,33,117,5,2,38,1,4,7,1,10,7,175
"22.high",2012,1,2,8,0,0,2,0,1,0,0,2,0,11
"22.low",2012,1,1,4,0,0,1,0,0,0,0,0,1,5
"22.med",2012,1,8,10,0,0,9,0,0,0,0,0,3,21
"23.high",2012,1,3,9,0,0,4,0,0,0,0,1,3,14
"23.low",2012,1,0,2,0,0,0,0,0,0,0,1,1,2
"24.high",2012,1,0,6,0,0,0,0,0,0,0,3,1,7
"25.high",2012,1,24,30,1,0,26,0,1,0,0,12,8,57
"25.low",2012,1,2,1,0,0,2,0,0,0,0,0,0,3
"25.med",2012,1,0,9,1,0,1,0,0,2,0,3,0,10
"01.high",2013,1,0,2,0,0,1,0,0,0,0,0,0,3
"01.low",2013,1,0,6,0,0,0,0,0,0,0,3,2,8
"01.med",2013,1,4,9,0,0,5,0,0,1,0,3,1,14
"02.high",2013,1,2,11,0,0,4,0,0,0,0,1,2,17
"02.low",2013,1,1,3,0,1,1,0,0,0,0,1,1,4
"02.med",2013,1,4,19,0,0,4,0,0,0,0,5,3,24
"03.low",2013,1,1,11,0,0,1,0,2,0,0,1,1,13
"03.med",2013,1,0,5,1,0,0,0,0,0,1,1,0,8
"04.high",2013,1,23,45,2,0,26,0,3,1,0,3,10,73
"04.low",2013,1,0,4,0,0,0,0,0,0,0,0,1,5
"04.med",2013,1,5,10,1,0,5,0,0,2,0,0,0,16
"05.low",2013,1,3,14,1,0,3,0,0,0,0,2,3,17
"05.med",2013,1,6,18,0,0,7,0,0,0,0,3,2,26
"06.low",2013,1,10,22,1,0,11,0,0,0,0,10,1,35
"06.med",2013,1,15,23,0,0,15,0,3,1,0,5,4,43
"07.high",2013,1,13,28,0,0,19,0,0,0,1,10,9,51
"08.high",2013,1,4,7,0,0,5,0,0,0,0,0,1,12
"08.low",2013,1,11,38,0,0,11,0,0,0,0,1,2,53
"08.med",2013,1,11,45,3,0,14,0,0,1,1,2,4,66
"09.high",2013,1,1,0,0,0,1,0,0,0,0,0,0,1
"09.low",2013,1,7,33,0,0,10,0,2,0,1,2,3,45
"09.med",2013,1,0,9,0,0,2,0,0,0,0,0,2,11
"10.high",2013,1,1,2,0,0,1,0,0,0,0,0,0,4
"10.low",2013,1,7,29,2,0,8,0,1,0,0,1,8,38
"10.med",2013,1,2,7,0,0,3,0,0,0,0,1,1,11
"11.high",2013,1,17,34,0,1,24,0,1,2,2,2,11,62
"11.med",2013,1,0,1,0,0,0,0,0,0,0,0,0,1
"12.high",2013,1,4,27,1,0,9,0,1,0,0,2,5,40
"12.low",2013,1,5,6,0,0,6,0,1,0,0,0,1,13
"12.med",2013,1,14,42,1,2,16,0,0,0,1,2,5,67
"13.high",2013,1,12,28,0,0,16,0,1,0,1,6,10,48
"13.low",2013,1,6,22,0,0,6,0,1,0,0,2,4,31
"13.med",2013,1,10,32,2,1,11,0,0,0,1,4,12,45
"14.high",2013,1,7,23,0,0,10,0,2,0,1,6,6,33
"14.low",2013,1,1,6,0,1,2,0,0,0,0,0,1,8
"14.med",2013,1,20,36,0,0,35,1,1,0,0,2,12,77
"15.high",2013,1,51,204,2,3,85,1,12,1,6,35,62,306
"15.low",2013,1,0,0,0,0,0,0,0,0,0,0,0,1
"15.med",2013,1,7,15,0,0,14,0,0,0,0,2,9,32
"16.high",2013,1,0,3,0,0,0,0,0,0,0,1,1,3
"16.low",2013,1,10,7,0,0,12,0,0,0,0,2,1,25
"16.med",2013,1,3,7,1,0,3,0,0,0,0,0,5,10
"17.high",2013,1,3,17,0,0,3,0,0,0,0,2,1,22
"17.med",2013,1,0,1,0,0,0,0,0,0,0,0,0,1
"18.high",2013,1,1,5,0,0,1,0,2,0,0,1,0,6
"18.med",2013,1,0,1,0,0,0,0,0,0,0,0,0,2
"19.high",2013,1,0,1,0,0,0,0,0,0,0,0,1,3
"19.low",2013,1,2,6,1,0,3,0,0,0,0,0,0,9
"19.med",2013,1,4,11,0,0,5,1,1,0,0,0,2,22
"20.high",2013,1,7,23,0,0,16,1,1,0,0,5,5,44
"20.low",2013,1,9,10,0,1,11,0,1,0,0,1,0,24
"20.med",2013,1,19,42,0,0,34,0,4,3,0,6,10,81
"21.low",2013,1,10,83,0,0,11,0,5,2,0,11,6,109
"21.med",2013,1,39,121,1,3,44,0,3,4,2,23,10,185
"22.high",2013,1,4,8,0,0,6,0,0,0,0,1,2,14
"22.low",2013,1,1,3,0,0,1,0,0,0,0,1,0,4
"22.med",2013,1,2,10,2,0,2,0,1,0,0,2,1,14
"23.high",2013,1,2,12,0,0,4,0,0,0,0,2,2,17
"23.low",2013,1,0,1,0,0,0,0,0,0,0,0,1,1
"23.med",2013,1,1,0,0,0,1,0,0,0,0,0,0,2
"24.high",2013,1,0,2,0,0,0,0,0,0,0,0,1,2
"24.med",2013,1,0,1,0,0,0,0,0,0,0,0,1,1
"25.high",2013,1,12,40,1,0,16,1,1,0,1,26,3,61
"25.low",2013,1,0,4,0,0,0,0,0,0,0,3,0,4
"25.med",2013,1,4,5,0,0,5,0,1,0,0,1,0,10
"01.high",2014,1,0,4,0,0,0,0,0,0,0,0,2,4
"01.low",2014,1,2,3,0,0,2,0,0,0,0,0,0,6
"01.med",2014,1,3,5,0,0,3,0,0,0,0,0,1,9
"02.high",2014,1,3,17,1,0,3,0,0,1,0,0,8,21
"02.low",2014,1,2,0,0,0,2,0,0,0,0,0,0,2
"02.med",2014,1,5,20,1,0,5,0,0,0,0,0,3,25
"03.low",2014,1,4,10,0,0,5,0,0,0,0,0,4,15
"03.med",2014,1,0,5,0,0,0,0,0,0,0,0,0,5
"04.high",2014,1,15,67,1,0,16,0,0,1,0,1,12,86
"04.low",2014,1,0,3,0,0,0,0,0,0,0,0,2,3
"04.med",2014,1,2,8,0,0,2,0,0,0,0,0,1,10
"05.low",2014,1,3,2,0,0,3,0,0,0,0,0,0,6
"05.med",2014,1,6,13,0,0,6,0,0,0,0,1,4,25
"06.low",2014,1,13,25,1,0,13,0,0,1,0,1,6,41
"06.med",2014,1,20,21,2,0,20,0,0,0,0,0,8,46
"07.high",2014,1,13,27,0,0,17,0,0,0,0,0,11,45
"08.high",2014,1,1,7,0,0,3,0,0,0,0,0,2,10
"08.low",2014,1,7,21,0,0,8,0,0,0,0,0,6,29
"08.med",2014,1,13,53,1,0,13,0,0,0,0,0,6,68
"09.low",2014,1,8,34,1,0,8,0,0,0,0,0,3,43
"09.med",2014,1,3,4,0,0,3,0,0,0,0,0,0,7
"10.high",2014,1,5,5,0,0,5,0,0,0,0,0,0,10
"10.low",2014,1,8,34,0,0,9,0,0,0,0,0,11,44
"10.med",2014,1,4,13,0,0,4,0,0,0,0,0,5,17
"11.high",2014,1,26,40,2,0,27,0,0,0,0,0,17,71
"12.high",2014,1,13,30,1,0,15,0,0,0,0,0,7,52
"12.low",2014,1,1,4,0,0,1,0,0,0,0,0,1,5
"12.med",2014,1,9,41,1,0,11,0,0,0,0,0,14,57
"13.high",2014,1,10,24,1,0,12,0,0,1,0,0,9,39
"13.low",2014,1,14,19,1,0,14,0,0,0,0,0,3,38
"13.med",2014,1,15,35,1,0,17,0,0,0,0,0,14,57
"14.high",2014,1,11,13,0,0,12,0,0,0,0,0,4,26
"14.low",2014,1,3,7,1,0,4,0,0,0,0,0,0,11
"14.med",2014,1,18,30,2,0,20,0,0,0,0,0,10,53
"15.high",2014,1,83,176,5,0,107,0,0,2,0,5,85,307
"15.med",2014,1,12,18,1,0,14,0,0,0,0,0,7,32
"16.high",2014,1,2,4,1,0,2,0,0,0,0,1,1,6
"16.low",2014,1,6,5,1,0,6,0,0,0,0,1,1,12
"16.med",2014,1,6,4,1,0,7,0,0,0,0,0,0,12
"17.high",2014,1,2,19,2,0,2,0,0,0,0,0,7,22
"17.med",2014,1,1,0,0,0,1,0,0,0,0,0,0,1
"18.high",2014,1,2,7,0,0,2,0,0,0,0,0,0,10
"19.high",2014,1,1,1,0,0,1,0,0,0,0,0,0,2
"19.low",2014,1,1,9,0,0,1,0,0,0,0,0,0,11
"19.med",2014,1,2,8,0,0,2,0,0,0,0,0,0,10
"20.high",2014,1,15,26,0,0,17,0,0,0,0,1,11,44
"20.low",2014,1,12,17,0,0,14,0,0,1,0,1,7,33
"20.med",2014,1,34,45,3,0,39,0,0,1,0,0,15,89
"21.low",2014,1,6,73,1,0,7,0,0,4,0,1,11,86
"21.med",2014,1,23,104,8,0,24,0,0,2,0,0,16,145
"22.high",2014,1,3,3,0,0,3,0,0,0,0,0,1,8
"22.low",2014,1,2,3,0,0,2,0,0,0,0,0,0,5
"22.med",2014,1,8,12,0,0,8,0,0,0,0,0,4,20
"23.high",2014,1,6,10,0,0,10,0,0,0,0,0,0,22
"24.high",2014,1,2,1,0,0,2,0,0,0,0,0,1,4
"25.high",2014,1,12,15,1,0,12,0,0,0,0,5,2,46
"25.med",2014,1,7,4,0,0,7,0,0,0,0,0,2,13
